priority	cluster_id	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	where_to_fix	risk	notes
5	resources.assets:692	ui	Arrow Closed			todo	resources.assets:path_id=692:m_Name	type=GameObject; name=Arrow Closed; dump=resources.assets/GameObject/692__Arrow_Closed.json		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	UnityPy typetree string
5	resources.assets:no_path	ui	SettingsIcon			todo	resources.assets:raw_ascii@3342740	type=raw_bytes	Weather Icon 5 | Weather Icon 8 | Moon Phase 6 || LiberationSans SDF Atlas | LiberationSans SDF Atlas | PU?Op	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	raw byte fallback candidate; inspect neighbouring Unity object if promoted
5	resources.assets:no_path	ui	UIFoldoutClosed			todo	resources.assets:raw_ascii@3337220	type=raw_bytes	Weather Icon 3 | Moon Phase 3 | ParticleFlare || Lightning Bolt | Moon Phase 5 | Weather Icon 10	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	raw byte fallback candidate; inspect neighbouring Unity object if promoted
5	sharedassets1.assets:390	item	Hand over diving gear?	Отдать снаряжение?		todo	sharedassets1.assets:path_id=390:raw_length_prefixed@7284436	type=MonoBehaviour; name=help_explore_scuba_01; script=Assembly-CSharp:dialogue_object; dump=sharedassets1.assets/MonoBehaviour/390__help_explore_scuba_01.json	help_explore_scuba_01	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:2251; length=22
5	sharedassets1.assets:418	item	Give fishnet?	Отдать сеть?		todo	sharedassets1.assets:path_id=418:raw_length_prefixed@7297020	type=MonoBehaviour; name=help_found_net_01; script=Assembly-CSharp:dialogue_object; dump=sharedassets1.assets/MonoBehaviour/418__help_found_net_01.json	help_found_net_01	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:2251; length=13
5	sharedassets1.assets:494	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=494:m_Name	type=MonoBehaviour; name=sleep; script=Assembly-CSharp:ItemScript; dump=sharedassets1.assets/MonoBehaviour/494__sleep.json	sleep | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	UnityPy typetree string
5	sharedassets1.assets:494	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=494:raw_length_prefixed@7316944	type=MonoBehaviour; name=sleep; script=Assembly-CSharp:ItemScript; dump=sharedassets1.assets/MonoBehaviour/494__sleep.json	sleep || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:1219; length=5
5	sharedassets1.assets:494	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=494:raw_length_prefixed@7316956	type=MonoBehaviour; name=sleep; script=Assembly-CSharp:ItemScript; dump=sharedassets1.assets/MonoBehaviour/494__sleep.json	sleep | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:1219; length=5
5	sharedassets1.assets:505	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=505:raw_length_prefixed@7318336	type=MonoBehaviour; name=BigWaves; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/505__BigWaves.json	BigWaves || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:505	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=505:raw_length_prefixed@7318444	type=MonoBehaviour; name=BigWaves; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/505__BigWaves.json	BigWaves | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:506	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=506:raw_length_prefixed@7319040	type=MonoBehaviour; name=BoatLeak; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/506__BoatLeak.json	BoatLeak || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:506	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=506:raw_length_prefixed@7319160	type=MonoBehaviour; name=BoatLeak; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/506__BoatLeak.json	BoatLeak | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:507	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=507:raw_length_prefixed@7320068	type=MonoBehaviour; name=DangerousWater; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/507__DangerousWater.json	DangerousWater	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:508	item	FishIntoBoat			todo	sharedassets1.assets:path_id=508:m_Name	type=MonoBehaviour; name=FishIntoBoat; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/508__FishIntoBoat.json	FishIntoBoat | sleep | Check the back?	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:508	item	FishIntoBoat			todo	sharedassets1.assets:path_id=508:raw_length_prefixed@7320288	type=MonoBehaviour; name=FishIntoBoat; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/508__FishIntoBoat.json	FishIntoBoat || sleep | Check the back?	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=12
5	sharedassets1.assets:508	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=508:raw_length_prefixed@7320596	type=MonoBehaviour; name=FishIntoBoat; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/508__FishIntoBoat.json	FishIntoBoat | FishIntoBoat || Check the back?	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:509	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=509:raw_length_prefixed@7321316	type=MonoBehaviour; name=FriendSick; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/509__FriendSick.json	FriendSick | FriendSick	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:510	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=510:raw_length_prefixed@7321796	type=MonoBehaviour; name=MessageBottleComes; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/510__MessageBottleComes.json	MessageBottleComes	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:512	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=512:raw_length_prefixed@7322932	type=MonoBehaviour; name=Rain; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/512__Rain.json	Rain || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:512	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=512:raw_length_prefixed@7322988	type=MonoBehaviour; name=Rain; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/512__Rain.json	Rain | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:513	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=513:raw_length_prefixed@7324364	type=MonoBehaviour; name=RainStorm; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/513__RainStorm.json	RainStorm || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:513	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=513:raw_length_prefixed@7324500	type=MonoBehaviour; name=RainStorm; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/513__RainStorm.json	RainStorm | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:514	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=514:raw_length_prefixed@7325204	type=MonoBehaviour; name=SeagullOnBoat; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/514__SeagullOnBoat.json	SeagullOnBoat	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:515	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=515:raw_length_prefixed@7326240	type=MonoBehaviour; name=SleepingUnwell; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/515__SleepingUnwell.json	SleepingUnwell | SleepingUnwell	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:515	item	SleepingUnwell			todo	sharedassets1.assets:path_id=515:m_Name	type=MonoBehaviour; name=SleepingUnwell; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/515__SleepingUnwell.json	SleepingUnwell | sleep	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:515	item	SleepingUnwell			todo	sharedassets1.assets:path_id=515:raw_length_prefixed@7325728	type=MonoBehaviour; name=SleepingUnwell; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/515__SleepingUnwell.json	SleepingUnwell || sleep	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=14
5	sharedassets1.assets:516	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=516:raw_length_prefixed@7326732	type=MonoBehaviour; name=WeirdFlowers; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/516__WeirdFlowers.json	WeirdFlowers	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:517	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=517:raw_length_prefixed@7326972	type=MonoBehaviour; name=Windy; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/517__Windy.json	Windy || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:517	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=517:raw_length_prefixed@7327072	type=MonoBehaviour; name=Windy; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/517__Windy.json	Windy | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:518	result/search	Found by cargo ship.	Найден грузовым судном.		todo	sharedassets1.assets:path_id=518:raw_length_prefixed@7328404	type=MonoBehaviour; name=BoatInDistance; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/518__BoatInDistance.json	BoatInDistance | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=20
5	sharedassets1.assets:518	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=518:raw_length_prefixed@7328240	type=MonoBehaviour; name=BoatInDistance; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/518__BoatInDistance.json	BoatInDistance || Found by cargo ship.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:519	item	FishSquad			todo	sharedassets1.assets:path_id=519:m_Name	type=MonoBehaviour; name=FishSquad; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/519__FishSquad.json	FishSquad | sleep	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:519	item	FishSquad			todo	sharedassets1.assets:path_id=519:raw_length_prefixed@7328464	type=MonoBehaviour; name=FishSquad; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/519__FishSquad.json	FishSquad || sleep	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=9
5	sharedassets1.assets:519	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=519:raw_length_prefixed@7328916	type=MonoBehaviour; name=FishSquad; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/519__FishSquad.json	FishSquad | FishSquad	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:520	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=520:raw_length_prefixed@7329496	type=MonoBehaviour; name=GhostlyFIgures; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/520__GhostlyFIgures.json	GhostlyFIgures	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:521	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=521:raw_length_prefixed@7330344	type=MonoBehaviour; name=IslandSmall; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/521__IslandSmall.json	IslandSmall | chest | bait || Visit the small island? | Mistook for a coconut.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:522	item	Eaten alive.	Съеден заживо.		todo	sharedassets1.assets:path_id=522:raw_length_prefixed@7332224	type=MonoBehaviour; name=MonsterFish; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/522__MonsterFish.json	MonsterFish | MonsterFish | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=12
5	sharedassets1.assets:522	item	MonsterFish			todo	sharedassets1.assets:path_id=522:m_Name	type=MonoBehaviour; name=MonsterFish; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/522__MonsterFish.json	MonsterFish | sleep | Eaten alive.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:522	item	MonsterFish			todo	sharedassets1.assets:path_id=522:raw_length_prefixed@7330912	type=MonoBehaviour; name=MonsterFish; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/522__MonsterFish.json	MonsterFish || sleep | Eaten alive.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=11
5	sharedassets1.assets:522	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=522:raw_length_prefixed@7331496	type=MonoBehaviour; name=MonsterFish; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/522__MonsterFish.json	MonsterFish | MonsterFish || Eaten alive.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:523	item	Became chest loot.	Стал добычей сундука.		todo	sharedassets1.assets:path_id=523:raw_length_prefixed@7332720	type=MonoBehaviour; name=MysteryChest; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/523__MysteryChest.json	MysteryChest | sleep | Pick up chest?	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=18
5	sharedassets1.assets:523	item	MysteryChest			todo	sharedassets1.assets:path_id=523:m_Name	type=MonoBehaviour; name=MysteryChest; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/523__MysteryChest.json	MysteryChest | sleep | Pick up chest?	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:523	item	MysteryChest			todo	sharedassets1.assets:path_id=523:raw_length_prefixed@7332272	type=MonoBehaviour; name=MysteryChest; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/523__MysteryChest.json	MysteryChest || sleep | Pick up chest? | Became chest loot.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=12
5	sharedassets1.assets:523	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=523:raw_length_prefixed@7332548	type=MonoBehaviour; name=MysteryChest; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/523__MysteryChest.json	MysteryChest | MysteryChest || Pick up chest? | Became chest loot.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:524	item	Mauled to death.	Растерзан.		todo	sharedassets1.assets:path_id=524:raw_length_prefixed@7333608	type=MonoBehaviour; name=SmallMonsterFishes; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/524__SmallMonsterFishes.json	SmallMonsterFishes | bait | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=16
5	sharedassets1.assets:524	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=524:raw_length_prefixed@7333332	type=MonoBehaviour; name=SmallMonsterFishes; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/524__SmallMonsterFishes.json	SmallMonsterFishes | SmallMonsterFishes | bait || Mauled to death.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:524	item	SmallMonsterFishes			todo	sharedassets1.assets:path_id=524:m_Name	type=MonoBehaviour; name=SmallMonsterFishes; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/524__SmallMonsterFishes.json	SmallMonsterFishes | bait | sleep	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:524	item	SmallMonsterFishes			todo	sharedassets1.assets:path_id=524:raw_length_prefixed@7332784	type=MonoBehaviour; name=SmallMonsterFishes; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/524__SmallMonsterFishes.json	SmallMonsterFishes || bait | sleep | Mauled to death.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=18
5	sharedassets1.assets:526	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=526:raw_length_prefixed@7334908	type=MonoBehaviour; name=TheFog; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/526__TheFog.json	TheFog || The fog came.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:527	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=527:raw_length_prefixed@7335700	type=MonoBehaviour; name=Vortex; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/527__Vortex.json	Vortex || sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:527	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=527:raw_length_prefixed@7335808	type=MonoBehaviour; name=Vortex; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/527__Vortex.json	Vortex | sleep	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:528	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=528:raw_length_prefixed@7336624	type=MonoBehaviour; name=BloodredWater; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/528__BloodredWater.json	BloodredWater || Sharing blood with the sea.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:529	result/search	Found by cargo ship.	Найден грузовым судном.		todo	sharedassets1.assets:path_id=529:raw_length_prefixed@7337332	type=MonoBehaviour; name=Boat_CanSave; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/529__Boat_CanSave.json	Boat_CanSave | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=20
5	sharedassets1.assets:529	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=529:raw_length_prefixed@7337168	type=MonoBehaviour; name=Boat_CanSave; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/529__Boat_CanSave.json	Boat_CanSave || Found by cargo ship.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:530	item	Became chest loot.	Стал добычей сундука.		todo	sharedassets1.assets:path_id=530:raw_length_prefixed@7338092	type=MonoBehaviour; name=ChestAttack; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/530__ChestAttack.json	ChestAttack | ChestAttack | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=18
5	sharedassets1.assets:530	item	ChestAttack			todo	sharedassets1.assets:path_id=530:m_Name	type=MonoBehaviour; name=ChestAttack; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/530__ChestAttack.json	ChestAttack | sleep | Became chest loot.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	UnityPy typetree string
5	sharedassets1.assets:530	item	ChestAttack			todo	sharedassets1.assets:path_id=530:raw_length_prefixed@7337392	type=MonoBehaviour; name=ChestAttack; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/530__ChestAttack.json	ChestAttack || sleep | Became chest loot.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=11
5	sharedassets1.assets:530	item	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=530:raw_length_prefixed@7337780	type=MonoBehaviour; name=ChestAttack; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/530__ChestAttack.json	ChestAttack | ChestAttack || Became chest loot.	add/update source-text entry in translations/source_queue.tsv	low/medium: verify in clean v1.1.3	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:531	result/search	Found by the company.	Найден компанией.		todo	sharedassets1.assets:path_id=531:raw_length_prefixed@7338776	type=MonoBehaviour; name=FarAirplane; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/531__FarAirplane.json	FarAirplane | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=21
5	sharedassets1.assets:531	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=531:raw_length_prefixed@7338620	type=MonoBehaviour; name=FarAirplane; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/531__FarAirplane.json	FarAirplane || Found by the company.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:532	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=532:raw_length_prefixed@7339808	type=MonoBehaviour; name=HandyMan; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/532__HandyMan.json	HandyMan || Grabbed into stomatch.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:533	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=533:raw_length_prefixed@7340304	type=MonoBehaviour; name=SeaWatcher; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/533__SeaWatcher.json	SeaWatcher || sleep | Stay awake? | Were being watched.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:533	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=533:raw_length_prefixed@7340372	type=MonoBehaviour; name=SeaWatcher; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/533__SeaWatcher.json	SeaWatcher | sleep || Stay awake? | Were being watched.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:534	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=534:raw_length_prefixed@7341440	type=MonoBehaviour; name=SharkMen; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/534__SharkMen.json	SharkMen || Torn into pieces.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:535	ui	sleep	СПАТЬ		todo	sharedassets1.assets:path_id=535:raw_length_prefixed@7342176	type=MonoBehaviour; name=Siren; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/535__Siren.json	Siren || Dragged to the seafloor.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=5
5	sharedassets1.assets:541	result/search	Found by the company.	Найден компанией.		todo	sharedassets1.assets:path_id=541:raw_length_prefixed@7345104	type=MonoBehaviour; name=AirPlane_CanSave; script=Assembly-CSharp:NightEventScript; dump=sharedassets1.assets/MonoBehaviour/541__AirPlane_CanSave.json	AirPlane_CanSave | sleep	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	MonoBehaviour length-prefixed string; script=unknown:992; length=21
