source	file	byte_offset	length	object_path_id	script	gameobject_path_id	gameobject_name	kind
Disabled	level2	1184220	8	7635	UnityEngine.UI:UnityEngine.UI.Button	2564	yes	mono_string_candidate
SettingsMenu, Assembly-CSharp	level2	1184264	29	7635	UnityEngine.UI:UnityEngine.UI.Button	2564	yes	mono_string_candidate
ConfirmResolution	level2	1184300	17	7635	UnityEngine.UI:UnityEngine.UI.Button	2564	yes	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1184340	31	7635	UnityEngine.UI:UnityEngine.UI.Button	2564	yes	mono_string_candidate
Normal	level2	1186888	6	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
Highlighted	level2	1186900	11	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
Pressed	level2	1186916	7	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
Selected	level2	1186928	8	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
Disabled	level2	1186940	8	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
SettingsMenu, Assembly-CSharp	level2	1187028	29	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
UpdateVolumeMusic	level2	1187064	17	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1187104	31	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
SettingsMenu, Assembly-CSharp	level2	1187172	29	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
UpdateVolumeMusic	level2	1187208	17	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1187248	31	7653	UnityEngine.UI:UnityEngine.UI.Slider	2647	Slider	mono_string_candidate
Normal	level2	1187544	6	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
Highlighted	level2	1187556	11	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
Pressed	level2	1187572	7	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
Selected	level2	1187584	8	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
Disabled	level2	1187596	8	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
PauseMenu, Assembly-CSharp	level2	1187640	26	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
QuitGame	level2	1187672	8	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1187700	31	7654	UnityEngine.UI:UnityEngine.UI.Button	2221	Quit	mono_string_candidate
Assets/UniStorm Weather System/Resources/Components/Resources/UniStorm Data.asset	level2	1188048	81	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
Player	level2	1188184	6	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
FPS Player	level2	1188196	10	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
MainCamera	level2	1188212	10	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
Main Camera	level2	1188228	11	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
Respawn	level2	1191196	7	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
Respawn	level2	1191332	7	7655	Assembly-CSharp:UniStorm.UniStormSystem	2188	UniStorm URP System	mono_string_candidate
Normal	level2	1200344	6	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
Highlighted	level2	1200356	11	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
Pressed	level2	1200372	7	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
Selected	level2	1200384	8	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
Disabled	level2	1200396	8	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
game_controller, Assembly-CSharp	level2	1200440	32	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1200512	31	7660	UnityEngine.UI:UnityEngine.UI.Button	2098	Accept	mono_string_candidate
Dead by the Sea.	level2	1202780	16	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
Your friend is sleeping with the fishes.	level2	1203352	40	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
You lost an item to the sea.	level2	1203396	28	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
Something broke during the night.	level2	1203428	33	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
You did not sleep very well.	level2	1203468	28	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
You feel weak.	level2	1203500	14	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
Help may be on the way...	level2	1203520	25	7671	Assembly-CSharp:game_controller	1582	GameController	mono_string_candidate
Normal	level2	1205464	6	7682	UnityEngine.UI:UnityEngine.UI.Scrollbar	2586	Scrollbar	mono_string_candidate
Highlighted	level2	1205476	11	7682	UnityEngine.UI:UnityEngine.UI.Scrollbar	2586	Scrollbar	mono_string_candidate
Pressed	level2	1205492	7	7682	UnityEngine.UI:UnityEngine.UI.Scrollbar	2586	Scrollbar	mono_string_candidate
Selected	level2	1205504	8	7682	UnityEngine.UI:UnityEngine.UI.Scrollbar	2586	Scrollbar	mono_string_candidate
Disabled	level2	1205516	8	7682	UnityEngine.UI:UnityEngine.UI.Scrollbar	2586	Scrollbar	mono_string_candidate
Normal	level2	1205816	6	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
Highlighted	level2	1205828	11	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
Pressed	level2	1205844	7	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
Selected	level2	1205856	8	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
Disabled	level2	1205868	8	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
SettingsMenu, Assembly-CSharp	level2	1205912	29	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
RevertResolution	level2	1205948	16	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1205984	31	7683	UnityEngine.UI:UnityEngine.UI.Button	1504	no	mono_string_candidate
Normal	level2	1207176	6	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Highlighted	level2	1207188	11	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Pressed	level2	1207204	7	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Selected	level2	1207216	8	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Disabled	level2	1207228	8	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
PauseMenu, Assembly-CSharp	level2	1207272	26	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Resume	level2	1207304	6	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1207332	31	7693	UnityEngine.UI:UnityEngine.UI.Button	2027	Resume	mono_string_candidate
Normal	level2	1207624	6	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
Highlighted	level2	1207636	11	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
Pressed	level2	1207652	7	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
Selected	level2	1207664	8	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
Disabled	level2	1207676	8	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
game_controller, Assembly-CSharp	level2	1207720	32	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1207792	31	7694	UnityEngine.UI:UnityEngine.UI.Button	1751	RunButton	mono_string_candidate
Normal	level2	1208232	6	7696	Unity.TextMeshPro:TMPro.TMP_InputField	1887	InputNightResult	mono_string_candidate
Highlighted	level2	1208244	11	7696	Unity.TextMeshPro:TMPro.TMP_InputField	1887	InputNightResult	mono_string_candidate
Pressed	level2	1208260	7	7696	Unity.TextMeshPro:TMPro.TMP_InputField	1887	InputNightResult	mono_string_candidate
Selected	level2	1208272	8	7696	Unity.TextMeshPro:TMPro.TMP_InputField	1887	InputNightResult	mono_string_candidate
Disabled	level2	1208284	8	7696	Unity.TextMeshPro:TMPro.TMP_InputField	1887	InputNightResult	mono_string_candidate
Normal	level2	1209592	6	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
Highlighted	level2	1209604	11	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
Pressed	level2	1209620	7	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
Selected	level2	1209632	8	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
Disabled	level2	1209644	8	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
PauseMenu, Assembly-CSharp	level2	1209688	26	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
BackToMenu	level2	1209720	10	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
UnityEngine.Object, UnityEngine	level2	1209752	31	7705	UnityEngine.UI:UnityEngine.UI.Button	2016	BackToMenu	mono_string_candidate
Normal	level2	1211608	6	7721	UnityEngine.UI:UnityEngine.UI.Toggle	2219	Item	mono_string_candidate
Highlighted	level2	1211620	11	7721	UnityEngine.UI:UnityEngine.UI.Toggle	2219	Item	mono_string_candidate
Pressed	level2	1211636	7	7721	UnityEngine.UI:UnityEngine.UI.Toggle	2219	Item	mono_string_candidate
Selected	level2	1211648	8	7721	UnityEngine.UI:UnityEngine.UI.Toggle	2219	Item	mono_string_candidate
Disabled	level2	1211660	8	7721	UnityEngine.UI:UnityEngine.UI.Toggle	2219	Item	mono_string_candidate
Heal?	level3	802252	5	4294	Unity.TextMeshPro:TMPro.TextMeshProUGUI	22	text_use	tmp_m_text
I am fully rested!	level3	802780	18	4295	Unity.TextMeshPro:TMPro.TextMeshProUGUI	32	mood_info	tmp_m_text
Get the Crate!	level3	803324	14	4296	Unity.TextMeshPro:TMPro.TextMeshProUGUI	38	myself_txt	tmp_m_text
+1	level3	803852	2	4297	Unity.TextMeshPro:TMPro.TextMeshProUGUI	42	IconText	tmp_m_text
Distance: 999m	level3	804380	14	4298	Unity.TextMeshPro:TMPro.TextMeshProUGUI	45	distance_text	tmp_m_text
Your search did not yield results.	level3	804908	34	4299	Unity.TextMeshPro:TMPro.TextMeshProUGUI	72	ItemText	tmp_m_text
Yes	level3	805468	3	4300	Unity.TextMeshPro:TMPro.TextMeshProUGUI	78	Text (TMP)	tmp_m_text
Frederik does not feel well...	level3	805996	30	4301	Unity.TextMeshPro:TMPro.TextMeshProUGUI	86	friendtootired_txt	tmp_m_text
Boost eating?	level3	806540	13	4302	Unity.TextMeshPro:TMPro.TextMeshProUGUI	105	text_use	tmp_m_text
Items Broken	level3	807068	12	4303	Unity.TextMeshPro:TMPro.TextMeshProUGUI	113	Title	tmp_m_text
Fix with tape!	level3	807596	14	4304	Unity.TextMeshPro:TMPro.TextMeshProUGUI	140	click_to_fix	tmp_m_text
You found a chest!	level3	808124	18	4305	Unity.TextMeshPro:TMPro.TextMeshProUGUI	169	ItemText	tmp_m_text
Frederick	level3	808668	9	4306	Unity.TextMeshPro:TMPro.TextMeshProUGUI	174	Name	tmp_m_text
Lonely	level3	809196	6	4307	Unity.TextMeshPro:TMPro.TextMeshProUGUI	189	Text (TMP)	tmp_m_text
A New Day	level3	809724	9	4308	Unity.TextMeshPro:TMPro.TextMeshProUGUI	237	NightText	tmp_m_text
<	level3	810252	1	4309	Unity.TextMeshPro:TMPro.TextMeshProUGUI	253	Text (TMP)	tmp_m_text
<b>Weight:</b> 0.5kg	level3	810780	20	4310	Unity.TextMeshPro:TMPro.TextMeshProUGUI	265	bottom	tmp_m_text
Bait Consumed	level3	811324	13	4311	Unity.TextMeshPro:TMPro.TextMeshProUGUI	270	bait_consumed	tmp_m_text
Sick	level3	811852	4	4312	Unity.TextMeshPro:TMPro.TextMeshProUGUI	300	Text (TMP)	tmp_m_text
Boat Damaged	level3	812380	12	4313	Unity.TextMeshPro:TMPro.TextMeshProUGUI	305	Title	tmp_m_text
You spent a short time underwater.	level3	812908	34	4314	Unity.TextMeshPro:TMPro.TextMeshProUGUI	316	ItemText	tmp_m_text
+1	level3	813468	2	4315	Unity.TextMeshPro:TMPro.TextMeshProUGUI	340	countText	tmp_m_text
Try diving for resources?	level3	813996	25	4316	Unity.TextMeshPro:TMPro.TextMeshProUGUI	343	Title	tmp_m_text
Click to continue	level3	814540	17	4317	Unity.TextMeshPro:TMPro.TextMeshProUGUI	366	ClickToContinue	tmp_m_text
Scuba set was damaged in the process.	level3	815084	37	4318	Unity.TextMeshPro:TMPro.TextMeshProUGUI	381	ItemText	tmp_m_text
Already healthy!	level3	815644	16	4319	Unity.TextMeshPro:TMPro.TextMeshProUGUI	389	AlreadyHealthytext	tmp_m_text
Talk?	level3	816172	5	4320	Unity.TextMeshPro:TMPro.TextMeshProUGUI	404	text_use	tmp_m_text
>	level3	816700	1	4321	Unity.TextMeshPro:TMPro.TextMeshProUGUI	415	Text (TMP)	tmp_m_text
You found food.	level3	817228	15	4322	Unity.TextMeshPro:TMPro.TextMeshProUGUI	419	ItemText	tmp_m_text
What are you going to do?	level3	817756	25	4323	Unity.TextMeshPro:TMPro.TextMeshProUGUI	420	Title	tmp_m_text
Click To Continue	level3	818300	17	4324	Unity.TextMeshPro:TMPro.TextMeshProUGUI	432	ClickToContinue	tmp_m_text
"Something broke during the night."	level3	818844	34	4325	Unity.TextMeshPro:TMPro.TextMeshProUGUI	444	NoticeText	tmp_m_text
Close Journal	level3	819404	13	4326	Unity.TextMeshPro:TMPro.TextMeshProUGUI	449	Text (TMP)	tmp_m_text
New Entry!	level3	819932	10	4327	Unity.TextMeshPro:TMPro.TextMeshProUGUI	500	new_entry	tmp_m_text
#9	level3	820460	2	4328	Unity.TextMeshPro:TMPro.TextMeshProUGUI	501	EntryText	tmp_m_text
Items Lost	level3	820988	10	4329	Unity.TextMeshPro:TMPro.TextMeshProUGUI	533	Title	tmp_m_text
+1	level3	821516	2	4330	Unity.TextMeshPro:TMPro.TextMeshProUGUI	547	IconText	tmp_m_text
Do you accept?	level3	822044	14	4331	Unity.TextMeshPro:TMPro.TextMeshProUGUI	582	ChoiceText	tmp_m_text
Let Frederik handle it!	level3	822572	23	4332	Unity.TextMeshPro:TMPro.TextMeshProUGUI	600	friend_txt	tmp_m_text
Found Inside:	level3	823116	13	4333	Unity.TextMeshPro:TMPro.TextMeshProUGUI	606	Title	tmp_m_text
Continue	level3	823644	8	4334	Unity.TextMeshPro:TMPro.TextMeshProUGUI	610	cancel_txt	tmp_m_text
You hurt yourself while searching.	level3	824172	34	4335	Unity.TextMeshPro:TMPro.TextMeshProUGUI	612	ItemText	tmp_m_text
<b>Red Snapper</b> <i>(+1 Food!)</i>	level3	824732	36	4336	Unity.TextMeshPro:TMPro.TextMeshProUGUI	617	top	tmp_m_text
Full already!	level3	825292	13	4337	Unity.TextMeshPro:TMPro.TextMeshProUGUI	678	AlreadyFullText	tmp_m_text
Nails Left: 4	level3	825820	13	4338	Unity.TextMeshPro:TMPro.TextMeshProUGUI	686	NoticeText	tmp_m_text
Go To Sleep?	level3	826348	12	4339	Unity.TextMeshPro:TMPro.TextMeshProUGUI	692	Text (TMP)	tmp_m_text
No	level3	826876	2	4340	Unity.TextMeshPro:TMPro.TextMeshProUGUI	702	Text (TMP)	tmp_m_text
End Day	level3	827404	7	4341	Unity.TextMeshPro:TMPro.TextMeshProUGUI	740	Text (TMP)	tmp_m_text
Do it!	level3	827932	6	4342	Unity.TextMeshPro:TMPro.TextMeshProUGUI	742	Text (TMP)	tmp_m_text
Prepare Bait	level3	828460	12	4343	Unity.TextMeshPro:TMPro.TextMeshProUGUI	757	SpecialityText	tmp_m_text
Write using your Mouse...	level3	828988	25	4344	Unity.TextMeshPro:TMPro.TextMeshProUGUI	765	PaperHeader	tmp_m_text
No New Entry	level3	829532	12	4345	Unity.TextMeshPro:TMPro.TextMeshProUGUI	766	no_new_entry	tmp_m_text
Cancel	level3	830060	6	4346	Unity.TextMeshPro:TMPro.TextMeshProUGUI	767	Text (TMP)	tmp_m_text
+10	level3	830588	3	4347	Unity.TextMeshPro:TMPro.TextMeshProUGUI	778	IconText	tmp_m_text
-25%	level3	831116	4	4348	Unity.TextMeshPro:TMPro.TextMeshProUGUI	780	Text	tmp_m_text
Hungry	level3	831644	6	4349	Unity.TextMeshPro:TMPro.TextMeshProUGUI	791	Text (TMP)	tmp_m_text
Not enough energy...	level3	832172	20	4350	Unity.TextMeshPro:TMPro.TextMeshProUGUI	805	myselfcannot_txt	tmp_m_text
Items Found	level3	832716	11	4351	Unity.TextMeshPro:TMPro.TextMeshProUGUI	824	Title	tmp_m_text
You found bait.	level3	833244	15	4352	Unity.TextMeshPro:TMPro.TextMeshProUGUI	837	ItemText	tmp_m_text
Well, there goes Dorothy…<br>I’m the only one left, stuck on this old junk of a lifeboat.<br>I have no idea what struck our ship, and judging by the sound, I honestly don’t want to find out.<br>Now all I can do is survive as long as I need. I’m sure help will come soon.	level3	833772	278	4353	Unity.TextMeshPro:TMPro.TextMeshProUGUI	851	NightDescription	tmp_m_text
I feel healthy!	level3	834572	15	4354	Unity.TextMeshPro:TMPro.TextMeshProUGUI	860	mood_info	tmp_m_text
!	level3	835100	1	4355	Unity.TextMeshPro:TMPro.TextMeshProUGUI	871	Text (TMP)	tmp_m_text
Open Journal?	level3	835628	13	4356	Unity.TextMeshPro:TMPro.TextMeshProUGUI	917	openjournal	tmp_m_text
Feed?	level3	836156	5	4357	Unity.TextMeshPro:TMPro.TextMeshProUGUI	920	text_use	tmp_m_text
I tried to bring some stuff with myself, too, but this is all I could get, look.	level3	836684	80	4358	Unity.TextMeshPro:TMPro.TextMeshProUGUI	939	DialogText	tmp_m_text
Search Results	level3	837276	14	4359	Unity.TextMeshPro:TMPro.TextMeshProUGUI	952	Title	tmp_m_text
-1	level3	837804	2	4360	Unity.TextMeshPro:TMPro.TextMeshProUGUI	955	countText	tmp_m_text
Eat Fish!	level3	838332	9	4361	Unity.TextMeshPro:TMPro.TextMeshProUGUI	972	CursorTipText_subText	tmp_m_text
Searching...	level3	838860	12	4362	Unity.TextMeshPro:TMPro.TextMeshProUGUI	981	Text (TMP)	tmp_m_text
Fish Food	level3	839388	9	4363	Unity.TextMeshPro:TMPro.TextMeshProUGUI	990	CursorTipText	tmp_m_text
I'm full!	level3	839916	9	4364	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1014	mood_info	tmp_m_text
I have no helping hands...	level3	840444	26	4365	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1020	friendcannot_txt	tmp_m_text
Cancel	level3	840988	6	4366	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1050	cancel_txt	tmp_m_text
DEAD	level3	841516	4	4367	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1079	Text (TMP)	tmp_m_text
Send	level3	842044	4	4368	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1080	Text (TMP)	tmp_m_text
50%	level3	842572	3	4369	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1390	SettingPercent	tmp_m_text
Keep new resolution?	level3	843100	20	4370	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1247	keep_res_title	tmp_m_text
Back to Menu	level3	843644	12	4371	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1111	txt	tmp_m_text
"kill
getfish
superhelp"	level3	844172	22	4372	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1122	help	tmp_m_text
1920x1080	level3	844716	9	4373	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1245	Label	tmp_m_text
Volume SFX	level3	845244	10	4374	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1131	SettingName	tmp_m_text
Reverts automatically in: 10	level3	845772	28	4375	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1143	reset_counter	tmp_m_text
Volume Music	level3	846316	12	4376	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1164	SettingName	tmp_m_text
"itemgive-itemid-n
itemremove-itemid-n
itembreak-itemid
itemfix-itemid
damage-n
danger-n
dangerset-n
energy-n
hitfriendenergy-n
friendsick-n
curefriend
feedfriend
killfriend
addhappen-happenid,h,h…
adddistance-n
endgame-reason
itemremoverandom
itembreakrandom
notice-message
hitbait-n
"	level3	846844	305	4377	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1345	help	tmp_m_text
Brightness	level3	847676	10	4378	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1227	SettingName	tmp_m_text
(Removes the requirement of holding mouse button.)	level3	848204	50	4379	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1356	SettingDesc	tmp_m_text
Enter text...	level3	848780	13	4380	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1287	Placeholder	tmp_m_text
Settings	level3	849308	8	4381	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1197	txt	tmp_m_text
| Created by: Taiki <i>(DopplerGhost)</i> | Special Thanks to: TakDor, Merlidan, Drael, and you! |	level3	849836	98	4382	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1361	SettingName	tmp_m_text
100%	level3	850460	4	4383	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1222	SettingPercent	tmp_m_text
1920x1080	level3	850988	9	4384	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1357	Item Label	tmp_m_text
100%	level3	851516	4	4385	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1308	SettingPercent	tmp_m_text
Quit	level3	852044	4	4386	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1124	txt	tmp_m_text
50%	level3	853100	3	4388	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1290	SettingPercent	tmp_m_text
Enter text...	level3	853628	13	4389	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1380	Placeholder	tmp_m_text
Resume	level3	854156	6	4390	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1183	txt	tmp_m_text
Screen Resolution	level3	854684	17	4391	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1410	SettingName	tmp_m_text
Forced Night Result	level3	855228	19	4392	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1262	NightResulttxt	tmp_m_text
Settings	level3	855772	8	4393	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1237	settings_subtitle	tmp_m_text
Run	level3	856300	3	4394	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1168	Text (TMP)	tmp_m_text
No	level3	856828	2	4395	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1249	button_txt	tmp_m_text
Day 0	level3	857356	5	4396	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1184	Text (TMP)	tmp_m_text
Instant Clicking	level3	857884	16	4397	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1201	SettingName	tmp_m_text
Mouse Sensitivity	level3	858412	17	4398	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1310	SettingName	tmp_m_text
Paused	level3	858956	6	4399	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1327	PausedTitle	tmp_m_text
The Game is saved automatically every morning.	level3	859484	46	4400	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1207	save_tip	tmp_m_text
v0.3.5	level3	860044	6	4401	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1149	versiontext	tmp_m_text
Restore Default Settings	level3	860572	24	4402	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1348	SettingName	tmp_m_text
Accept	level3	861116	6	4403	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1354	txt	tmp_m_text
seed: 212832382	level3	862172	15	4405	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1300	save_tip	tmp_m_text
Volume Master	level3	862700	13	4406	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1355	SettingName	tmp_m_text
Yes	level3	863228	3	4407	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1320	button_txt	tmp_m_text
100%	level3	863756	4	4408	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1273	SettingPercent	tmp_m_text
Enter Action Code	level3	864284	17	4409	Unity.TextMeshPro:TMPro.TextMeshProUGUI	1316	Text (TMP)	tmp_m_text
Captain Whiskers	level3	864928	16	4411	Assembly-CSharp:CursorInfoMaker	11	Cats	mono_string_candidate
Broken Bucket	level3	866240	13	4423	Assembly-CSharp:CursorInfoMaker	34	bucket (broken)	mono_string_candidate
Open Chest	level3	866832	10	4428	Assembly-CSharp:CursorInfoMaker	54	LootBoxChest	mono_string_candidate
Drifting Barrel	level3	868992	15	4437	Assembly-CSharp:CursorInfoMaker	77	barrelToClick_2	mono_string_candidate
Fix!	level3	869344	4	4441	Assembly-CSharp:CursorInfoMaker	85	NAIL_01 (2)	mono_string_candidate
Food	level3	870112	4	4447	Assembly-CSharp:CursorInfoMaker	115	food_fish (7)	mono_string_candidate
Anchor	level3	871104	6	4456	Assembly-CSharp:CursorInfoMaker	143	anchor	mono_string_candidate
Normal	level3	873304	6	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
Highlighted	level3	873316	11	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
Pressed	level3	873332	7	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
Selected	level3	873344	8	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
Disabled	level3	873356	8	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
JournalController, Assembly-CSharp	level3	873400	34	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
PageTurnRight	level3	873440	13	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
UnityEngine.Object, UnityEngine	level3	873476	31	4468	UnityEngine.UI:UnityEngine.UI.Button	171	Button_StepForward	mono_string_candidate
Normal	level3	873912	6	4470	UnityEngine.UI:UnityEngine.UI.Button	175	Yes	mono_string_candidate
Highlighted	level3	873924	11	4470	UnityEngine.UI:UnityEngine.UI.Button	175	Yes	mono_string_candidate
Pressed	level3	873940	7	4470	UnityEngine.UI:UnityEngine.UI.Button	175	Yes	mono_string_candidate
Selected	level3	873952	8	4470	UnityEngine.UI:UnityEngine.UI.Button	175	Yes	mono_string_candidate
Disabled	level3	873964	8	4470	UnityEngine.UI:UnityEngine.UI.Button	175	Yes	mono_string_candidate
