source	current_ru	location	kind	context	category	severity	proposed_fix	action	notes
Partly Cloudy		resources.assets	mono_string_candidate	object_path_id=1952; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16031632	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Pay back your debts...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=276108; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
pTUCEIVE8T?OFF		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8790512; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
qRFkO)K!g		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=2020965; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
QXo!K?O		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=15629443; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
RD?tAn>p		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=1057213; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
re no fun, bud! Welp, we might need it later for a more important time though		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13686598; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
re up! You won		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13684595; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Reached land.		sharedassets1.assets	mono_string_candidate	object_path_id=533; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7340668	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Recovery efforts failed.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302540	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Red Aroras		resources.assets	mono_string_candidate	object_path_id=1939; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16023216	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Red Auroras		resources.assets	mono_string_candidate	object_path_id=1939; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16023232	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Row’ and I are the only ones left		resources.assets	raw_bytes	object_name=; path_id=; field=known_string_search; location=byte 13663978 (utf-8)	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_resources_dialogue_strings
s a chest! What		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13691190; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s gonna make a great story one day! Just let me know if you change your mind,		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13676893; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s great! Mine are bay leaf trees. I used to collect a lot of bay leaves as a child		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13675873; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s no joke. I almost got hurt myself, too! Glad I didn		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13687024; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s the spirit! I		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13676627; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s2>Pmy?O		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1566153; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
s8!MP(iFJ		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=17808276; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
S?D>Lpe		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=5841014; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
S?OFF Ta		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8860677; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Set foot on land?		game_original/DontSleepWithTheFishes_Data/sharedassets1.assets	raw_byte_string	byte_offset=7340508; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Severely reduced returns.		level5	mono_string_candidate	object_path_id=1781; script=Assembly-CSharp:EndingController; gameobject=EndingController; offset=302448	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Sharing blood with the sea.		sharedassets1.assets	mono_string_candidate	object_path_id=518; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7331536	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Smiling face with smiling eyes		resources.assets	mono_string_candidate	object_path_id=1931; script=Unity.TextMeshPro:TMPro.TMP_SpriteAsset; gameobject=; offset=16011256	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Something broke during the night.		game_runtime_test/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt	runtime_xunity_text	"target=Что-то сломалось ночью."	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_xunity_dictionary
Sprite Assets/		resources.assets	mono_string_candidate	object_path_id=1933; script=Unity.TextMeshPro:TMPro.TMP_Settings; gameobject=; offset=16016616	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Stared at the moon for too long.		sharedassets1.assets	mono_string_candidate	object_path_id=538; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7345760	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Stimcard SDF		sharedassets1.assets	mono_string_candidate	object_path_id=323; script=Unity.TextMeshPro:TMPro.TMP_FontAsset; gameobject=; offset=7208816	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Stimcard SDF OutLine		sharedassets1.assets	mono_string_candidate	object_path_id=322; script=Unity.TextMeshPro:TMPro.TMP_FontAsset; gameobject=; offset=7198896	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Stimcard SDF OutLine Lowres		sharedassets1.assets	mono_string_candidate	object_path_id=321; script=Unity.TextMeshPro:TMPro.TMP_FontAsset; gameobject=; offset=7188960	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
sW?WutU?7utS?W		game_original/DontSleepWithTheFishes_Data/sharedassets2.assets	raw_byte_string	byte_offset=451116; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
SZjOui/s?RD		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=5357951; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
t be wrong! That was definitely not a bird! I hope I made enough effort to be noticed		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13652748; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
t you? When something		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13682936; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
T?OFF0Ua		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8900214; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
TextAnimator StyleSheet		resources.assets	mono_string_candidate	object_path_id=1928; script=Febucci.TextAnimator.Runtime:Febucci.UI.Styles.StyleSheetScriptable; gameobject=; offset=15976784	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
TextGetterCompatibilityMode=True		game_runtime_test/BepInEx/config/AutoTranslatorConfig.ini	runtime_config	line=46	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=runtime_config
The fog came.		sharedassets1.assets	mono_string_candidate	object_path_id=516; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7329972	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Thunder Snow		resources.assets	mono_string_candidate	object_path_id=1963; script=Assembly-CSharp:UniStorm.WeatherType; gameobject=; offset=16038640	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
TMP Settings		resources.assets	mono_string_candidate	object_path_id=1933; script=Unity.TextMeshPro:TMPro.TMP_Settings; gameobject=; offset=16016448	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Torn into pieces.		sharedassets1.assets	mono_string_candidate	object_path_id=524; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7336332	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Trafficed to ghosts.		sharedassets1.assets	mono_string_candidate	object_path_id=535; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7342188	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Try skipping the night?		game_original/DontSleepWithTheFishes_Data/sharedassets1.assets	raw_byte_string	byte_offset=7294524; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
u?WS8YOK		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=13471049; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
UniStorm Data		resources.assets	mono_string_candidate	object_path_id=1936; script=Assembly-CSharp:UniStorm.Utility.UniStormProfile; gameobject=; offset=16017024	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
UvV3V?VJVVVbVnVyV		game_original/DontSleepWithTheFishes_Data/sharedassets5.assets	raw_byte_string	byte_offset=415704; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
V:GRi!V		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=3561914; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
v?HYz>i		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=2074914; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
V?OFF4Wa		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=8552297; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
ve got! It		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=13686866; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Visit the small island?		game_original/DontSleepWithTheFishes_Data/sharedassets1.assets	raw_byte_string	byte_offset=7325540; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
VR State Data		resources.assets	mono_string_candidate	object_path_id=1937; script=Assembly-CSharp:UniStorm.Utility.VRState; gameobject=; offset=16022512	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Wait for rescue...		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=249136; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Well, there goes Dorothy		level3	raw_bytes	object_name=; path_id=; field=known_string_search; location=byte 833772 (utf-8)	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_resources_dialogue_strings
Were being watched.		sharedassets1.assets	mono_string_candidate	object_path_id=523; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7335304	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
What do you think? Should we do this?		game_original/DontSleepWithTheFishes_Data/level3	raw_byte_string	byte_offset=920512; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
wIo+TX!Ia		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=3261426; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
XPUCEIVE P?OFF		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=6930576; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
You feel weak.		level1	mono_string_candidate	object_path_id=2021; script=Assembly-CSharp:game_controller; gameobject=GameController; offset=326092	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
You lost an item to the sea.		level1	mono_string_candidate	object_path_id=2021; script=Assembly-CSharp:game_controller; gameobject=GameController; offset=325988	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
You lost an item to the sea.!		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=325988; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Your boat fell apart.		sharedassets4.assets	mono_string_candidate	object_path_id=738; script=Assembly-CSharp:NightEventScript; gameobject=; offset=4851228	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Z?eNZ?N		game_original/DontSleepWithTheFishes_Data/sharedassets4.assets	raw_byte_string	byte_offset=1980230; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
