source	asset_file	object_type	object_name	path_id	field_path	offset_or_location	confidence	notes
…	resources.assets	TextAsset	dialogues	160	m_Script[help_fixing_lose_01].WHO	csv row 100	high	player-facing TextAsset CSV payload
All that exhausting work.. and I still couldn’t fix it. I’m sorry…	resources.assets	TextAsset	dialogues	160	m_Script[help_fixing_lose_01].WOMAN	csv row 100	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_fixing_win_01].MAN	csv row 99	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_fixing_win_01].WHO	csv row 99	high	player-facing TextAsset CSV payload
Yes! I did it.. Here you go, it’s usable now!	resources.assets	TextAsset	dialogues	160	m_Script[help_fixing_win_01].WOMAN	csv row 99	high	player-facing TextAsset CSV payload
Hey, I think I see something down there.. just beside us in the water!	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_01].MAN	csv row 116	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_01].WHO	csv row 116	high	player-facing TextAsset CSV payload
Oh.. I see something.. In the-.. the water! I could pull it up with a fishnet..	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_01].WOMAN	csv row 116	high	player-facing TextAsset CSV payload
Quick, hand me the fishnet!	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_02].MAN	csv row 117	high	player-facing TextAsset CSV payload
Could you lend me one, please?	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_02].WOMAN	csv row 117	high	player-facing TextAsset CSV payload
...Huh? Ah, never mind, I lost sight of it.. Well then…	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_03].MAN	csv row 118	high	player-facing TextAsset CSV payload
… Hmm. Now that you mention it, m- maybe it was just some big rocks. Oh well…	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_03].WOMAN	csv row 118	high	player-facing TextAsset CSV payload
Wait- ..huff… this thing’s heavy… Look at this chest! What could it be hiding?	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_04].MAN	csv row 119	high	player-facing TextAsset CSV payload
… Ugh, s- so heavy… but look! It’s a chest! What’s inside?	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_04].WOMAN	csv row 119	high	player-facing TextAsset CSV payload
Well, one thing’s for sure it snapped the fishnet, so it better be worth it!	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_05].MAN	csv row 120	high	player-facing TextAsset CSV payload
Oh no.. I broke the net.. Sorry.. I just hope whatever is in this chest makes up for it.	resources.assets	TextAsset	dialogues	160	m_Script[help_found_neednet_01_05].WOMAN	csv row 120	high	player-facing TextAsset CSV payload
Aha! Look what the tide just carried in! I had just long enough arms to grab it..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_01].MAN	csv row 112	high	player-facing TextAsset CSV payload
This thing just got washed up by the waves..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_01].WHO	csv row 112	high	player-facing TextAsset CSV payload
L- look! I found this in the sea this morning. Soaking wet, but still usable..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_01].WOMAN	csv row 112	high	player-facing TextAsset CSV payload
Here, have it!	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_02].MAN	csv row 113	high	player-facing TextAsset CSV payload
You can have it.	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_02].WHO	csv row 113	high	player-facing TextAsset CSV payload
See?	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_01_02].WOMAN	csv row 113	high	player-facing TextAsset CSV payload
Hmm..? What’s that behind your ear?	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_01].MAN	csv row 114	high	player-facing TextAsset CSV payload
Interesting..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_01].WHO	csv row 114	high	player-facing TextAsset CSV payload
Oh.. I- I found something in the water just now..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_01].WOMAN	csv row 114	high	player-facing TextAsset CSV payload
Just kiddin’.. Look what I found in the water, though!	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_02].MAN	csv row 115	high	player-facing TextAsset CSV payload
Hey, look at that. Just found it floating around..	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_02].WHO	csv row 115	high	player-facing TextAsset CSV payload
Here, take a look! C- can we use this?	resources.assets	TextAsset	dialogues	160	m_Script[help_foundsomething_02_02].WOMAN	csv row 115	high	player-facing TextAsset CSV payload
Sorry bud! I actually fell asleep… 	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_01].MAN	csv row 108	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_01].WHO	csv row 108	high	player-facing TextAsset CSV payload
S- Sorry… I fell asleep..	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_01].WOMAN	csv row 108	high	player-facing TextAsset CSV payload
But I’m sure you could defend yourself, couldn’t you?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_02].MAN	csv row 109	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_02].WHO	csv row 109	high	player-facing TextAsset CSV payload
I hope nothing bad happened.. Did it?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_fail_02].WOMAN	csv row 109	high	player-facing TextAsset CSV payload
Y’know what? I feel helpful today! I can guard you tonight so you have a restful night’s sleep.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01].MAN	csv row 101	high	player-facing TextAsset CSV payload
Nights getting rough? I can help you get through the next one.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01].WHO	csv row 101	high	player-facing TextAsset CSV payload
I-.. Overslept. So I’ll think I can stay up this night and guard, while you rest..	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01].WOMAN	csv row 101	high	player-facing TextAsset CSV payload
Guess what! Night guard duty’s back on the menu. Say the word if ya want a problem-free night!	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01_b].MAN	csv row 102	high	player-facing TextAsset CSV payload
You look like someone who has not slept in a while. Let me take the night.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01_b].WHO	csv row 102	high	player-facing TextAsset CSV payload
I overslept again… Do you need rest tomorrow night? I can stay up if you want.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_01_b].WOMAN	csv row 102	high	player-facing TextAsset CSV payload
What do you say?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_02].MAN	csv row 103	high	player-facing TextAsset CSV payload
What do you say?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_02].WHO	csv row 103	high	player-facing TextAsset CSV payload
What do you say?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_02].WOMAN	csv row 103	high	player-facing TextAsset CSV payload
Super! You can rest assured to have the best sleep of your life, buddy!	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_03].MAN	csv row 104	high	player-facing TextAsset CSV payload
Got it. Have a nice sleep today..	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_03].WHO	csv row 104	high	player-facing TextAsset CSV payload
All right! I- I’ll guard the boat tonight. You can sleep.. n- no worries.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_03].WOMAN	csv row 104	high	player-facing TextAsset CSV payload
Okay then! Don’t break our habits, right?	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_04].MAN	csv row 105	high	player-facing TextAsset CSV payload
.. Confident.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_04].WHO	csv row 105	high	player-facing TextAsset CSV payload
Hah, t- that’s fine, too! If you insist.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_night_04].WOMAN	csv row 105	high	player-facing TextAsset CSV payload
Well, friend, the most interesting thing about last night was you talking in your sleep…	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_01].MAN	csv row 106	high	player-facing TextAsset CSV payload
… You look like someone who had a nightmare.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_01].WHO	csv row 106	high	player-facing TextAsset CSV payload
Huh, last night, I swear I heard s- something..	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_01].WOMAN	csv row 106	high	player-facing TextAsset CSV payload
But hey, nobody got hurt, so I did my duty. Another win for me, yeah?!	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_02].MAN	csv row 107	high	player-facing TextAsset CSV payload
Anyway, you are unharmed. No need to thank me.	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_02].WHO	csv row 107	high	player-facing TextAsset CSV payload
But nothing really happened, so there’s that.. Glad y- you could catch up on sleep!	resources.assets	TextAsset	dialogues	160	m_Script[help_guardyou_success_02].WOMAN	csv row 107	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_01].MAN	csv row 110	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_01].WHO	csv row 110	high	player-facing TextAsset CSV payload
Oh.. You seem hurt. H- Here, let me patch you up! Don’t worry, I- I can handle the sight of blood.	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_01].WOMAN	csv row 110	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_02].MAN	csv row 111	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_02].WHO	csv row 111	high	player-facing TextAsset CSV payload
See? And I- it didn’t even hurt, right?	resources.assets	TextAsset	dialogues	160	m_Script[help_healyou_02].WOMAN	csv row 111	high	player-facing TextAsset CSV payload
I just remembered! I have my cigar box with me.. We could send a message in it, couldn’t we?	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_01].MAN	csv row 121	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_01].WHO	csv row 121	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_01].WOMAN	csv row 121	high	player-facing TextAsset CSV payload
Well, here goes nothin’..	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_02].MAN	csv row 122	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_02].WHO	csv row 122	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_02].WOMAN	csv row 122	high	player-facing TextAsset CSV payload
I hope it finds someone.. Then returns it, of course. It’s my cigar box.	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_03].MAN	csv row 123	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_03].WHO	csv row 123	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[help_signal_03].WOMAN	csv row 123	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_01].MAN	csv row 133	high	player-facing TextAsset CSV payload
I could try fishing, but I have my methods, so to say..	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_01].WHO	csv row 133	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_01].WOMAN	csv row 133	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_02].MAN	csv row 134	high	player-facing TextAsset CSV payload
Can I?	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_02].WHO	csv row 134	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_02].WOMAN	csv row 134	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_03].MAN	csv row 135	high	player-facing TextAsset CSV payload
That’ll do. Hope nothing was alerted in the deep from that.	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_03].WHO	csv row 135	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_03].WOMAN	csv row 135	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_04].MAN	csv row 136	high	player-facing TextAsset CSV payload
Okay then. You do you.	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_04].WHO	csv row 136	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[hunt_with_gun_04].WOMAN	csv row 136	high	player-facing TextAsset CSV payload
Next time we get stranded, I’m bringin’ a deck of cards.. And a looooot of beer.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_01_01].MAN	csv row 45	high	player-facing TextAsset CSV payload
If I am ever not on this boat when you wake up… assume the worst.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_01_01].WHO	csv row 45	high	player-facing TextAsset CSV payload
D- Don’t worry, I’m not seasick. I’m just… emotionally wavy today.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_01_01].WOMAN	csv row 45	high	player-facing TextAsset CSV payload
With Dorothy sunk, we need a new name for this dinghy we’re on…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_01].MAN	csv row 46	high	player-facing TextAsset CSV payload
Sitting and staring out on this boat is rather boring for you too, I assume…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_01].WHO	csv row 46	high	player-facing TextAsset CSV payload
I- I’ve lost track of the days we’ve been here already. If only I had a way to write them down..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_01].WOMAN	csv row 46	high	player-facing TextAsset CSV payload
How about ‘The Brown Floater’? Bloater for short, of course. I’m open to better names, though!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_02].MAN	csv row 47	high	player-facing TextAsset CSV payload
But if you start singing a sea shanty, I will personally abandon ship.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_02].WHO	csv row 47	high	player-facing TextAsset CSV payload
… W- why are you looking at me like that?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_02_02].WOMAN	csv row 47	high	player-facing TextAsset CSV payload
One more day out here and I’m gonna start naming the planks. This one is Jeff. Say hi, Jeff!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_01].MAN	csv row 48	high	player-facing TextAsset CSV payload
.. We should compete to see which one of us is more resilient.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_01].WHO	csv row 48	high	player-facing TextAsset CSV payload
I think.. I see something green growing between the planks.. t- this can only mean one thing…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_01].WOMAN	csv row 48	high	player-facing TextAsset CSV payload
… Jeff says hi.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_02].MAN	csv row 49	high	player-facing TextAsset CSV payload
Let’s say… whoever can keep their right leg in the salty ocean the longest. How does that sound?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_02].WHO	csv row 49	high	player-facing TextAsset CSV payload
I can have my own small personal garden here..!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_03_02].WOMAN	csv row 49	high	player-facing TextAsset CSV payload
I can’t believe we’re already on day {X}.. At this rate, I might just grow my hair back!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_04_01].MAN	csv row 50	high	player-facing TextAsset CSV payload
Heads up. We have already survived {X} nights.. We may not need many more to do so.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_04_01].WHO	csv row 50	high	player-facing TextAsset CSV payload
Most of my plants at home need water once a week… H- how many days has it been…?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_04_01].WOMAN	csv row 50	high	player-facing TextAsset CSV payload
I’m getting real tired of eating raw fish… I’d even eat a seagull at this point. Ya’ feel me, bud?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_01].MAN	csv row 51	high	player-facing TextAsset CSV payload
The air is getting way too humid around here…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_01].WHO	csv row 51	high	player-facing TextAsset CSV payload
T- this deck’s getting more and more uncomfortable to sleep on by the day…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_01].WOMAN	csv row 51	high	player-facing TextAsset CSV payload
If only we had fire to cook it with… without burning the planks, obviously..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_02].MAN	csv row 52	high	player-facing TextAsset CSV payload
Makes my gun more likely to jam.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_02].WHO	csv row 52	high	player-facing TextAsset CSV payload
I might have to take something from the junk box to cushion my head tonight…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_05_02].WOMAN	csv row 52	high	player-facing TextAsset CSV payload
Y’know, I’ve been wondering… Why did this ‘company’ offer such a high payout for us?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_01].MAN	csv row 53	high	player-facing TextAsset CSV payload
The company told me I was a ‘vital asset’ because of my knowledge of armory.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_01].WHO	csv row 53	high	player-facing TextAsset CSV payload
W- why did the company insist we have weapons on board? Were those... n– necessary?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_01].WOMAN	csv row 53	high	player-facing TextAsset CSV payload
They had to know the risks, right?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_02].MAN	csv row 54	high	player-facing TextAsset CSV payload
Still not sure if that was a compliment or a warning.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_02].WHO	csv row 54	high	player-facing TextAsset CSV payload
What were they expecting..?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_06_02].WOMAN	csv row 54	high	player-facing TextAsset CSV payload
Funny how a company this famous hasn’t even tried to find us yet…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_07_01].MAN	csv row 55	high	player-facing TextAsset CSV payload
Do you think the company left us here on purpose?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_07_01].WHO	csv row 55	high	player-facing TextAsset CSV payload
W- why aren’t they looking for us? Did the company just.. abandon us?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_07_01].WOMAN	csv row 55	high	player-facing TextAsset CSV payload
Ya’ think this is why they told us the job had to stay between us and the company?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_01].MAN	csv row 56	high	player-facing TextAsset CSV payload
The company told me things they said were just for me to know…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_01].WHO	csv row 56	high	player-facing TextAsset CSV payload
They didn’t tell me anything… Were they trying to protect me?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_01].WOMAN	csv row 56	high	player-facing TextAsset CSV payload
Now I feel stupid for not telling a single soul.. My momma would already be out here swimming for us!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_02].MAN	csv row 57	high	player-facing TextAsset CSV payload
Why be so damn secretive?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_02].WHO	csv row 57	high	player-facing TextAsset CSV payload
.. Like they knew this could happen? D- did they think I’d freak out if I knew?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_08_02].WOMAN	csv row 57	high	player-facing TextAsset CSV payload
I wanna see the face of the guy who got us into this mess…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_01].MAN	csv row 58	high	player-facing TextAsset CSV payload
They told me ‘The Contractor’ would always be watching us..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_01].WHO	csv row 58	high	player-facing TextAsset CSV payload
And we never even knew who our contractor was.. They kept him a secret.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_01].WOMAN	csv row 58	high	player-facing TextAsset CSV payload
The only thing we know about him is that he calls himself ‘The Contractor’.. What a weird guy..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_02].MAN	csv row 59	high	player-facing TextAsset CSV payload
Was that supposed to be a joke? Or are they actually watching us suffer right now?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_02].WHO	csv row 59	high	player-facing TextAsset CSV payload
I- I mean all we know is he literally calls himself ‘The Contractor’..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_09_02].WOMAN	csv row 59	high	player-facing TextAsset CSV payload
They said the Contractor considered this his most important job to offer… and we messed it up..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_10_01].MAN	csv row 60	high	player-facing TextAsset CSV payload
The Contractor’s probably not gonna be happy we failed the job…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_10_01].WHO	csv row 60	high	player-facing TextAsset CSV payload
The company.. They made the Contractor seem… d- desperate..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_10_01].WOMAN	csv row 60	high	player-facing TextAsset CSV payload
Ugh… This Contractor guy’s probably a rich, heartless jerk who treats people like us as tools..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_11_01].MAN	csv row 61	high	player-facing TextAsset CSV payload
Huh… ‘Contractor.’ What a heartless skunk.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_11_01].WHO	csv row 61	high	player-facing TextAsset CSV payload
I- if the Contractor had a heart, he’d be looking for us… right?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_11_01].WOMAN	csv row 61	high	player-facing TextAsset CSV payload
Y’know, these waters… they’re telling me this wasn’t any ordinary transport mission..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_12_01].MAN	csv row 62	high	player-facing TextAsset CSV payload
Maybe it is better for both of us if they never see us again.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_12_01].WHO	csv row 62	high	player-facing TextAsset CSV payload
W- What if... we can still finish the job? What if we never needed the ship in the first place?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_12_01].WOMAN	csv row 62	high	player-facing TextAsset CSV payload
You're a quiet one, huh...	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_01].MAN	csv row 63	high	player-facing TextAsset CSV payload
That’s the look of someone carrying secrets.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_01].WHO	csv row 63	high	player-facing TextAsset CSV payload
Your f- face... it tells me you know more than I do.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_01].WOMAN	csv row 63	high	player-facing TextAsset CSV payload
Hey, if you know something I should, don't keep it to yourself, alrighty?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_02].MAN	csv row 64	high	player-facing TextAsset CSV payload
And if I am right, maybe it’s time you ask yourself if they’re worth keeping.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_02].WHO	csv row 64	high	player-facing TextAsset CSV payload
Please- if you think you’ve got answers to any of this, don’t hold back.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_13_02].WOMAN	csv row 64	high	player-facing TextAsset CSV payload
Days.. weeks… I smell like aged tuna that’s been thrown up.. twice.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_01].MAN	csv row 65	high	player-facing TextAsset CSV payload
… You smell awful.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_01].WHO	csv row 65	high	player-facing TextAsset CSV payload
It’s not exactly comfy wearing the same clothes this long...	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_01].WOMAN	csv row 65	high	player-facing TextAsset CSV payload
Just how much longer do we have to keep fightin’, bud?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_02].MAN	csv row 66	high	player-facing TextAsset CSV payload
Don’t stress it.. We’ve been stranded out here a long time.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_02].WHO	csv row 66	high	player-facing TextAsset CSV payload
I just-..  I just wanna live long enough to take a well-earned, relaxing shower..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_14_02].WOMAN	csv row 66	high	player-facing TextAsset CSV payload
I swear, my hair’s getting grayer by the day… Hey, what’s that look?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_01].MAN	csv row 67	high	player-facing TextAsset CSV payload
In this tiny boat.. Even my peg leg is starting to ache.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_01].WHO	csv row 67	high	player-facing TextAsset CSV payload
If I were a plant…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_01].WOMAN	csv row 67	high	player-facing TextAsset CSV payload
Ya’ think I’m bald? Under this hat is the most magnificent hair you’ve ever seen!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_02].MAN	csv row 68	high	player-facing TextAsset CSV payload
You know about phantom pain, don’t you? When something’s gone, but it still hurts like it’s there…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_02].WHO	csv row 68	high	player-facing TextAsset CSV payload
I’d be a dry, tired, tattered little shrub, barely hanging on..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_15_02].WOMAN	csv row 68	high	player-facing TextAsset CSV payload
If either of us makes it out alive… we should get a new ship- one named after those we lost.. ‘kay?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_16_01].MAN	csv row 69	high	player-facing TextAsset CSV payload
When I die, I want my ashes mixed with gunpowder… then fired into the sky.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_16_01].WHO	csv row 69	high	player-facing TextAsset CSV payload
Well.. if I don’t make it.. c- could you take care of my plants for me, please?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_16_01].WOMAN	csv row 69	high	player-facing TextAsset CSV payload
I..  I thought I heard voices. But there’s only fish… Can fish talk here? Did you hear them too?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_17_01].MAN	csv row 70	high	player-facing TextAsset CSV payload
Hold yourself together. We cannot give up now.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_17_01].WHO	csv row 70	high	player-facing TextAsset CSV payload
I think… I- I’m having a reverse mirage.. I’m starting to see land in the ocean..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_17_01].WOMAN	csv row 70	high	player-facing TextAsset CSV payload
I’d imagine this is worse than when you sued the company for your botched surgery.. yeah?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_18_01].MAN	csv row 71	high	player-facing TextAsset CSV payload
Still chasing that dream of yours, by the way? You know... that one.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_18_01].WHO	csv row 71	high	player-facing TextAsset CSV payload
M- my brother warned me not to take this job. Thought he was being overprotective... Oh well.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_18_01].WOMAN	csv row 71	high	player-facing TextAsset CSV payload
I wish I had more lives… y’know? Just one might be enough to get us outta here, huh?	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_01].MAN	csv row 72	high	player-facing TextAsset CSV payload
Hmm.. ‘The Heart of the Sea’…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_01].WHO	csv row 72	high	player-facing TextAsset CSV payload
When I was a kid, my friends used to whisper rumors about the sea…	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_01].WOMAN	csv row 72	high	player-facing TextAsset CSV payload
I’ve only heard the old tales, though… A friend of mine swore it was possible..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_02].MAN	csv row 73	high	player-facing TextAsset CSV payload
Endless possibilities, or so they say.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_02].WHO	csv row 73	high	player-facing TextAsset CSV payload
One of them mentioned s- something called ‘The Heart of the Sea’, I think..	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_02].WOMAN	csv row 73	high	player-facing TextAsset CSV payload
With something called ‘The Heart of the Sea’. No idea what that means, but it sure sounds mysterious!	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_03].MAN	csv row 74	high	player-facing TextAsset CSV payload
Personally? I don’t believe a word of it.	resources.assets	TextAsset	dialogues	160	m_Script[late_days_19_03].WHO	csv row 74	high	player-facing TextAsset CSV payload
